ParticipantNo,D_t,W_t,R_t,Repetition,Trial,PressedTime,Hit
0,0.6,0.2,0.1,2,123,0.6681691,1
0,0.6,0.2,0.1,8,124,0.5290989,1
0,0.5,0.2,0.1,12,125,0.5286927,1
0,0.4,0.2,0.1,17,126,0.4458012,1
0,0.6,0.2,0.1,19,127,0.5570536,1
0,0.5,0.1,0.1,12,128,0.4873157,1
0,0.5,0.1,0.1,8,129,0.5014951,0
0,0.4,0.1,0.1,18,130,0.3623722,1
0,0.4,0.1,0.1,9,131,0.4458054,0
0,0.4,0.2,0.1,19,132,0.3757059,1
0,0.6,0.2,0.1,5,133,0.4872252,0
0,0.4,0.1,0.1,11,134,0.4179314,0
0,0.4,0.1,0.1,12,135,0.376131,1
0,0.4,0.2,0.1,8,136,0.3622403,1
0,0.4,0.2,0.1,12,137,0.4177899,1
0,0.6,0.2,0.1,13,138,0.5015312,1
0,0.6,0.1,0.1,5,139,0.4872651,0
0,0.4,0.2,0.1,0,140,0.4454416,1
0,0.4,0.2,0.1,1,141,0.4037533,1
0,0.4,0.2,0.1,15,142,0.4170234,1
0,0.5,0.1,0.1,17,143,0.3480711,0
0,0.5,0.2,0.1,18,144,0.4871497,1
0,0.6,0.2,0.1,17,145,0.5431494,1
0,0.4,0.1,0.1,16,146,0.4315864,0
0,0.5,0.2,0.1,13,147,0.4456954,1
0,0.6,0.1,0.1,4,148,0.4874612,0
0,0.6,0.2,0.1,14,149,0.6689467,1
0,0.4,0.1,0.1,1,150,0.4175225,0
0,0.6,0.2,0.1,7,151,0.4180223,0
0,0.5,0.1,0.1,0,152,0.5571941,0
0,0.4,0.2,0.1,3,153,0.4316361,1
0,0.5,0.2,0.1,9,154,0.5429851,1
0,0.5,0.1,0.1,1,155,0.5007676,0
0,0.5,0.2,0.1,10,156,0.5848806,1
0,0.5,0.1,0.1,11,157,0.45926,1
0,0.6,0.1,0.1,15,158,0.5285786,1
0,0.5,0.1,0.1,18,159,0.4458665,1
0,0.4,0.1,0.1,15,160,0.4032522,0
0,0.6,0.2,0.1,4,161,0.6123269,1
0,0.5,0.1,0.1,9,162,0.4312058,1
0,0.6,0.1,0.1,13,163,0.5982493,1
0,0.6,0.2,0.1,16,164,0.48748,0
0,0.5,0.1,0.1,4,165,0.4876044,1
0,0.6,0.1,0.1,12,166,0.4735682,0
0,0.5,0.2,0.1,3,167,0.5429782,1
0,0.6,0.1,0.1,0,168,0.5989602,1
0,0.5,0.1,0.1,10,169,0.5012181,0
0,0.5,0.2,0.1,0,170,0.4866939,1
0,0.4,0.1,0.1,13,171,0.3758477,1
0,0.5,0.1,0.1,16,172,0.4592112,1
0,0.6,0.2,0.1,15,173,0.5847276,1
0,0.4,0.1,0.1,3,174,0.3898805,1
0,0.5,0.2,0.1,14,175,0.375659,0
0,0.4,0.1,0.1,14,176,0.4317935,0
